bench,job_id,hw_latency,dsp_used,dsp_total,bram_used,bram_total,lut_used,lut_total,ff_used,ff_total,target_clock,estimated_clock,min_latency,max_latency,pipelining,bram_used,dsp48_used,ff_used,lut_used
baseline/machsuite-aes,zHQ9WaUrRt4,108122,0,220,5,140,11952,53200,5283,106400,7.00,12.68,14862,21622,none,10,0,5283,11952
baseline/machsuite-backprop,Svof5V5YHXs,630207577,198,220,37,140,66248,53200,65350,106400,7.00,6.22,134969054,134969054,none,58,198,59752,62041
baseline/machsuite-bfs-bulk,uEJWMPmnQ0Q,356605,0,220,17,140,10076,53200,12553,106400,7.00,5.11,2826,35870,none,2,0,1357,1662
baseline/machsuite-bfs-queue,MozfjPSBYc8,196859,0,220,21,140,11309,53200,13102,106400,7.00,12.14,14,1544,none,10,0,1906,2895
baseline/machsuite-fft-strided,zRvlCDkC-x8,3149720,56,220,12,140,13627,53200,12902,106400,7.00,5.11,158741,645141,none,8,56,7304,9420
baseline/machsuite-fft-transpose,QNuuzxqQIys,967621,336,220,20,140,58316,53200,56246,106400,7.00,7.37,183435,197771,none,40,336,56246,58316
baseline/machsuite-gemm-blocked,Qkn3B0rhtCs,30470849,14,220,18,140,11402,53200,13446,106400,7.00,5.11,6463633,6463633,none,4,14,2250,2988
baseline/machsuite-gemm-ncubed,FFdhYjHGH5A,1422749,14,220,65,140,13268,53200,19826,106400,7.00,6.27,262671,262671,none,98,14,8630,4854
baseline/machsuite-kmp,WwO-BkQk-kQ,1915558385,0,220,11,140,7282,53200,7923,106400,7.00,5.11,194534,10534288140,none,6,0,2325,3075
baseline/machsuite-md-grid,mac4DF2HW-k,169343,67,220,44,140,30770,53200,38501,106400,7.00,6.84,2832,2832,none,24,67,16109,13942
baseline/machsuite-md-knn,0-Ol1OaH-08,13305644,42,220,24,140,22808,53200,27807,106400,7.00,6.22,725761,725761,none,0,42,11013,10187
baseline/machsuite-nw,79NV-ddJBKE,2769612,3,220,10,140,7522,53200,7656,106400,7.00,8.51,460308,461708,none,4,3,2058,3315
baseline/machsuite-sort-merge,rt9ZT5ohPRo,1734299144,0,220,3,140,1685,53200,1302,106400,7.00,5.96,23,1291980823,none,6,0,1302,1685
baseline/machsuite-sort-radix,4nMGm7NJq6s,10486426,0,220,4,140,7075,53200,3935,106400,7.00,5.11,2222465,2222465,none,8,0,3935,7075
baseline/machsuite-spmv-crs,gktPMX_YcjE,10415332,14,220,16,140,10385,53200,12877,106400,7.00,5.07,2471,2205217,none,0,14,1681,1971
baseline/machsuite-spmv-ellpack,TUBbpO0VRog,435816,14,220,18,140,11395,53200,13645,106400,7.00,5.11,56323,56323,none,4,14,2449,2981
baseline/machsuite-stencil-stencil2d,eRlv8DQZP3Y,641239,3,220,16,140,8868,53200,11467,106400,7.00,8.51,117181,117181,none,0,3,271,454
baseline/machsuite-stencil-stencil3d,qtXpetlf1Fk,498368,2940,220,16,140,145629,53200,198598,106400,7.00,8.51,48376,48376,none,0,2940,187402,137215
baseline/machsuite-viterbi,Xf-1faQiwOM,67157477,3,220,49,140,12650,53200,13777,106400,7.00,6.26,14352694,14352694,none,66,3,2581,4236
rewrite/machsuite-gemm-ncubed,OegcEwPkMiE,35689111,14,220,8,140,6201,53200,7089,106400,7.00,5.07,5513345,5513345,none,0,14,1491,1994
rewrite/machsuite-md-knn,EfC-9QeNFbs,13305644,42,220,24,140,22823,53200,27807,106400,7.00,6.22,725761,725761,none,0,42,11013,10202
rewrite/machsuite-sort-merge,4LvTa_Jbr0Y,1734299144,0,220,3,140,1685,53200,1302,106400,7.00,5.96,23,1291980823,none,6,0,1302,1685
rewrite/machsuite-stencil-stencil2d,uRj9q4BpE58,12783345,4,220,8,140,4514,53200,6031,106400,7.00,4.39,625213,625213,none,0,4,433,307
